model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
SGD Nesterov,sgd_nesterov,feature,mahalanobis,svhn,0.9827511332206516,0.09615089121081745,0.9621763597942115,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis,tiny_imagenet,0.864907925,0.5692,0.8610762182398976,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,cifar100,0.890270165,0.4672,0.8771193899908446,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,mnist,0.95891706,0.2618,0.9645085460654921,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,svhn,0.9895675975722188,0.06100184388444991,0.9753303794262937,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,mahalanobis_l2,tiny_imagenet,0.881370445,0.4619,0.8616274354356633,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
Adam matched,adam_matched,logit,energy_id_score,cifar100,0.821158855,0.7009,0.8287894005803096,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,energy_id_score,mnist,0.98677691,0.0554,0.9892754621753626,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,energy_id_score,svhn,0.9136501017977874,0.5691072526121697,0.8805308074402229,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,energy_id_score,tiny_imagenet,0.82614441,0.6768,0.833156926821024,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,maxlogit,cifar100,0.82251698,0.7038,0.8301790679398368,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,maxlogit,mnist,0.983210885,0.0838,0.9865206468607043,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
Adam matched,adam_matched,logit,maxlogit,svhn,0.9217976528887523,0.517939459127228,0.8884309398806007,20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0,results/raw/wrn350_seed0_eval_20260525/20260520_2209_curie_cifar10_standard-wrn-28-10-dropout03_adam_matched_seed0
